Name,PackFormat,PackMagic,Description
Bejeweled 2,xpr,XPR2,gim image
Beta Bloc,Unknown,Unknown,Is it PopCap Games?
Peggle,xpr,XPR2,the jpg file is gim image
Zuma,xpr,XPR2,gim image
